epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,5716.37,0.5975,0.43809,1.06904,0.96904,0.96775,0.97937,0.88295,0.50666,0.27451,0.99826,0.00505,0.00505,0.00505
102,5772.88,0.59588,0.43744,1.06836,0.96961,0.96765,0.98174,0.88398,0.50876,0.27218,1.00076,0.0050005,0.0050005,0.0050005
103,5829.24,0.5978,0.4363,1.06272,0.96957,0.96874,0.98134,0.88329,0.50887,0.27414,1.00047,0.004951,0.004951,0.004951
104,5885.66,0.59526,0.43735,1.0682,0.96789,0.96671,0.98111,0.8824,0.5087,0.27324,0.99904,0.0049015,0.0049015,0.0049015
105,5941.82,0.59411,0.44376,1.06917,0.97125,0.96574,0.98274,0.88263,0.50716,0.26886,0.99912,0.004852,0.004852,0.004852
106,5998,0.58785,0.42874,1.06102,0.97263,0.96686,0.98194,0.88492,0.50886,0.26813,0.99939,0.0048025,0.0048025,0.0048025
107,6054.26,0.58589,0.42811,1.06424,0.97315,0.96755,0.9834,0.8872,0.50658,0.26485,0.99881,0.004753,0.004753,0.004753
108,6110.6,0.58435,0.4316,1.06312,0.97133,0.96555,0.98381,0.8876,0.50616,0.264,0.99843,0.0047035,0.0047035,0.0047035
109,6167.07,0.57696,0.42082,1.05752,0.97426,0.96596,0.98352,0.88633,0.50939,0.26461,1.00109,0.004654,0.004654,0.004654
110,6223.29,0.58321,0.42441,1.06198,0.97381,0.96907,0.98318,0.8859,0.50723,0.26349,1.00013,0.0046045,0.0046045,0.0046045
111,6279.76,0.58222,0.43499,1.06397,0.97327,0.9709,0.98323,0.88609,0.50672,0.26332,0.99904,0.004555,0.004555,0.004555
112,6336.25,0.58606,0.42694,1.06199,0.97082,0.97153,0.98228,0.88552,0.50364,0.26345,0.99703,0.0045055,0.0045055,0.0045055
113,6392.5,0.58199,0.42492,1.05945,0.97329,0.97129,0.98254,0.88606,0.50437,0.26528,0.99754,0.004456,0.004456,0.004456
114,6449.15,0.57818,0.42104,1.05804,0.96952,0.97263,0.98223,0.88644,0.50434,0.26546,0.99855,0.0044065,0.0044065,0.0044065
115,6505.35,0.57346,0.42307,1.05621,0.97114,0.97053,0.98255,0.88606,0.5033,0.26456,0.99776,0.004357,0.004357,0.004357
116,6561.7,0.57513,0.41587,1.05589,0.97303,0.96812,0.9835,0.88656,0.50153,0.26318,0.99686,0.0043075,0.0043075,0.0043075
117,6617.96,0.56667,0.41615,1.0534,0.97392,0.96974,0.98272,0.88828,0.50033,0.26261,0.99652,0.004258,0.004258,0.004258
118,6674.4,0.56749,0.41421,1.05336,0.97047,0.96985,0.98257,0.88969,0.49951,0.26241,0.9976,0.0042085,0.0042085,0.0042085
119,6730.59,0.56965,0.4154,1.05082,0.97094,0.97099,0.98311,0.89015,0.49874,0.26117,0.99798,0.004159,0.004159,0.004159
120,6786.85,0.56873,0.41083,1.0512,0.97254,0.96947,0.98296,0.88974,0.49865,0.26086,0.99878,0.0041095,0.0041095,0.0041095
121,6843.2,0.56668,0.41338,1.05181,0.97489,0.96573,0.98343,0.88916,0.4975,0.2606,0.99986,0.00406,0.00406,0.00406
122,6899.56,0.56757,0.41261,1.05414,0.97367,0.96713,0.98351,0.88958,0.49796,0.26099,1.00018,0.0040105,0.0040105,0.0040105
123,6955.86,0.56687,0.41452,1.05207,0.97349,0.96712,0.98332,0.89062,0.49582,0.26034,0.99821,0.003961,0.003961,0.003961
124,7012.38,0.56161,0.40799,1.04856,0.97506,0.96727,0.98363,0.89031,0.49604,0.25865,0.99844,0.0039115,0.0039115,0.0039115
125,7068.88,0.55662,0.39943,1.04525,0.97395,0.96839,0.98377,0.89135,0.49586,0.25847,0.99795,0.003862,0.003862,0.003862
126,7125.33,0.5549,0.40127,1.04598,0.97514,0.96714,0.98315,0.89103,0.49621,0.25895,0.99724,0.0038125,0.0038125,0.0038125
127,7181.82,0.55336,0.4004,1.04403,0.97383,0.96812,0.98317,0.89178,0.49528,0.25918,0.99596,0.003763,0.003763,0.003763
128,7238.17,0.55233,0.40038,1.04609,0.96757,0.97281,0.98292,0.89243,0.49261,0.25883,0.99438,0.0037135,0.0037135,0.0037135
129,7294.52,0.54743,0.39704,1.04183,0.97225,0.96788,0.98293,0.89203,0.49294,0.25891,0.99494,0.003664,0.003664,0.003664
130,7350.95,0.55245,0.40394,1.04415,0.96815,0.97067,0.98176,0.89121,0.49335,0.25924,0.99487,0.0036145,0.0036145,0.0036145
131,7407.18,0.54538,0.3946,1.03865,0.96945,0.97161,0.98153,0.89062,0.4941,0.25964,0.99604,0.003565,0.003565,0.003565
132,7463.32,0.5503,0.39779,1.04194,0.96829,0.97207,0.98111,0.89109,0.49377,0.25954,0.99581,0.0035155,0.0035155,0.0035155
133,7519.5,0.55081,0.39325,1.03984,0.96869,0.97172,0.98105,0.89096,0.49386,0.25913,0.996,0.003466,0.003466,0.003466
134,7575.61,0.54168,0.39328,1.03827,0.96957,0.97101,0.98157,0.88977,0.49467,0.2601,0.99672,0.0034165,0.0034165,0.0034165
135,7631.9,0.54208,0.38957,1.03949,0.96886,0.97165,0.98161,0.88992,0.49483,0.26025,0.99739,0.003367,0.003367,0.003367
136,7688.2,0.53651,0.39035,1.03608,0.96738,0.9719,0.98079,0.89068,0.49497,0.26039,0.99783,0.0033175,0.0033175,0.0033175
137,7744.95,0.54138,0.39034,1.03741,0.96739,0.97143,0.98148,0.89155,0.49411,0.26037,0.99766,0.003268,0.003268,0.003268
138,7801.49,0.53123,0.38365,1.03331,0.96941,0.97134,0.98156,0.89106,0.49316,0.25995,0.99708,0.0032185,0.0032185,0.0032185
139,7857.86,0.53054,0.38219,1.03284,0.9693,0.97074,0.98156,0.89079,0.49224,0.25895,0.99647,0.003169,0.003169,0.003169
140,7914.28,0.52866,0.3834,1.03247,0.96951,0.97024,0.9808,0.89064,0.49168,0.25828,0.99623,0.0031195,0.0031195,0.0031195
141,7970.44,0.5312,0.38108,1.03262,0.96888,0.96938,0.98117,0.89153,0.49184,0.25777,0.99691,0.00307,0.00307,0.00307
142,8026.7,0.52698,0.37464,1.02793,0.96997,0.96889,0.9814,0.892,0.49137,0.25702,0.99696,0.0030205,0.0030205,0.0030205
143,8082.94,0.5346,0.38679,1.03652,0.96929,0.96914,0.9812,0.89221,0.4915,0.25743,0.99736,0.002971,0.002971,0.002971
144,8139.21,0.52325,0.37659,1.02887,0.96878,0.96966,0.98099,0.89248,0.49168,0.25837,0.99782,0.0029215,0.0029215,0.0029215
145,8195.29,0.5235,0.37125,1.02649,0.96892,0.96972,0.98065,0.8925,0.49139,0.25765,0.99787,0.002872,0.002872,0.002872
146,8251.6,0.51807,0.37098,1.02576,0.96916,0.96903,0.9812,0.89308,0.49112,0.25737,0.99783,0.0028225,0.0028225,0.0028225
147,8308.28,0.52548,0.3759,1.0284,0.97033,0.967,0.98132,0.89383,0.49075,0.2572,0.99748,0.002773,0.002773,0.002773
148,8364.7,0.5209,0.37289,1.02809,0.97191,0.96605,0.9816,0.89363,0.49017,0.25703,0.99697,0.0027235,0.0027235,0.0027235
149,8420.93,0.52209,0.375,1.02773,0.97202,0.96559,0.98084,0.89419,0.48987,0.25748,0.99703,0.002674,0.002674,0.002674
150,8477.59,0.51525,0.36883,1.02717,0.97181,0.96558,0.98068,0.89374,0.48905,0.25744,0.99668,0.0026245,0.0026245,0.0026245
151,8534.24,0.51602,0.36951,1.02383,0.97208,0.96564,0.98091,0.89408,0.48865,0.2567,0.99664,0.002575,0.002575,0.002575
152,8590.83,0.51256,0.36783,1.02404,0.96593,0.97249,0.98105,0.89343,0.48846,0.25639,0.99659,0.0025255,0.0025255,0.0025255
153,8647.27,0.51348,0.36575,1.02576,0.97317,0.96532,0.98079,0.89354,0.48812,0.2561,0.99667,0.002476,0.002476,0.002476
154,8703.73,0.5067,0.36108,1.02086,0.97269,0.96593,0.98062,0.89379,0.4878,0.25592,0.99653,0.0024265,0.0024265,0.0024265
155,8759.9,0.51158,0.37202,1.02281,0.97295,0.96557,0.98053,0.89376,0.48745,0.25532,0.9963,0.002377,0.002377,0.002377
156,8816.24,0.50547,0.36394,1.0222,0.97274,0.966,0.9812,0.89438,0.48702,0.25486,0.99599,0.0023275,0.0023275,0.0023275
157,8872.56,0.50634,0.36578,1.02107,0.9736,0.96611,0.98184,0.89446,0.48666,0.2542,0.99612,0.002278,0.002278,0.002278
158,8928.96,0.49981,0.35839,1.01715,0.97217,0.96694,0.98197,0.89436,0.48607,0.25388,0.99594,0.0022285,0.0022285,0.0022285
159,8985.05,0.50039,0.35552,1.01889,0.96646,0.97273,0.98222,0.89471,0.4859,0.25409,0.99581,0.002179,0.002179,0.002179
160,9041.41,0.49889,0.35568,1.01694,0.9712,0.96738,0.98213,0.89525,0.48571,0.2535,0.99557,0.0021295,0.0021295,0.0021295
161,9097.85,0.49613,0.35271,1.01746,0.97131,0.9673,0.9821,0.89606,0.48549,0.25293,0.99557,0.00208,0.00208,0.00208
162,9154.46,0.5017,0.35821,1.02302,0.97161,0.96771,0.98216,0.89618,0.48518,0.25287,0.99543,0.0020305,0.0020305,0.0020305
163,9210.96,0.49327,0.35392,1.01419,0.97168,0.9681,0.98216,0.89626,0.48497,0.25255,0.99517,0.001981,0.001981,0.001981
164,9267.24,0.48957,0.34853,1.01149,0.97186,0.96836,0.98209,0.89618,0.48493,0.25238,0.99523,0.0019315,0.0019315,0.0019315
165,9323.71,0.49412,0.35038,1.01166,0.97203,0.96736,0.98222,0.89657,0.4848,0.25261,0.99532,0.001882,0.001882,0.001882
166,9380.27,0.48432,0.3433,1.00961,0.9721,0.96704,0.98183,0.89652,0.48501,0.25243,0.99548,0.0018325,0.0018325,0.0018325
167,9436.58,0.48581,0.34351,1.00879,0.97212,0.96668,0.98216,0.89682,0.48544,0.25247,0.99595,0.001783,0.001783,0.001783
168,9493,0.48795,0.34404,1.01284,0.97233,0.96655,0.9822,0.89671,0.48561,0.25265,0.99621,0.0017335,0.0017335,0.0017335
169,9549.33,0.48415,0.34395,1.00956,0.973,0.96659,0.98207,0.89647,0.48572,0.2525,0.99663,0.001684,0.001684,0.001684
170,9605.45,0.4813,0.3391,1.01025,0.97321,0.9664,0.98191,0.89648,0.48545,0.25258,0.9965,0.0016345,0.0016345,0.0016345
171,9661.89,0.48393,0.33923,1.00802,0.97317,0.96646,0.98219,0.89659,0.48559,0.25293,0.99669,0.001585,0.001585,0.001585
172,9718.25,0.47926,0.33979,1.00952,0.97332,0.96653,0.98216,0.89655,0.48556,0.25275,0.99681,0.0015355,0.0015355,0.0015355
173,9774.69,0.47962,0.33657,1.00908,0.97325,0.9666,0.98199,0.89622,0.48563,0.25294,0.99705,0.001486,0.001486,0.001486
174,9831.08,0.4781,0.33402,1.00605,0.97327,0.96671,0.98152,0.89638,0.48576,0.2529,0.99738,0.0014365,0.0014365,0.0014365
175,9887.43,0.46669,0.32823,1.00223,0.97343,0.96663,0.98144,0.89652,0.48557,0.25288,0.9973,0.001387,0.001387,0.001387
176,9943.79,0.46895,0.33212,1.00373,0.97323,0.96632,0.98142,0.89666,0.48577,0.25275,0.99754,0.0013375,0.0013375,0.0013375
177,10000.2,0.46721,0.32897,1.00244,0.97397,0.96579,0.9814,0.89667,0.48599,0.25268,0.99779,0.001288,0.001288,0.001288
