                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3625,                 1.3842,                 1.6469,                 1.4031,                 1.6473,                  1.635,                0.63973,                0.63093,                0.67236,                0.44824,                 1.1357,                 1.3128,                 1.7065,                 1.1745,                  1.401,                 1.7211,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.3604,                 1.3764,                 1.6394,                 1.4002,                 1.6298,                 1.6305,                0.60219,                 0.7109,                 0.7169,                0.49369,                 1.0506,                 1.0885,                 1.5966,                 1.1013,                 1.1398,                 1.6179,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.3504,                 1.3469,                 1.6321,                 1.3901,                 1.6161,                 1.6266,                0.73011,                 0.6923,                0.75117,                0.51214,                 1.0932,                0.93501,                 1.6411,                 1.1318,                 1.0798,                 1.6527,              0.0011814,              0.0011814,              0.0011814
                     38,                  1.346,                 1.3467,                 1.6291,                 1.3865,                 1.6035,                 1.6329,                0.65381,                0.74604,                0.77776,                0.53165,                  1.127,                0.86177,                 1.6729,                 1.1248,                 1.0041,                  1.682,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.3497,                 1.3246,                 1.6239,                 1.3904,                 1.5792,                 1.6193,                0.65039,                  0.707,                0.75991,                0.51807,                 1.0508,                0.93189,                  1.599,                 1.1013,                 1.0396,                  1.631,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.3326,                 1.3172,                 1.6078,                 1.3847,                 1.5715,                  1.618,                0.73564,                 0.7606,                0.81511,                0.55775,                  1.085,                0.80332,                 1.6531,                 1.1438,                0.86548,                 1.7002,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.3094,                 1.2941,                 1.5979,                 1.3576,                 1.5358,                 1.6113,                0.64597,                0.64703,                0.72186,                0.51272,                 1.0148,                 1.2076,                  1.593,                 1.0733,                 1.3247,                 1.6372,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.2826,                  1.252,                 1.5668,                 1.3463,                 1.4871,                 1.5816,                0.78331,                0.66909,                 0.8011,                0.56072,                 1.0192,                0.86984,                 1.5797,                 1.0864,                0.94268,                 1.6276,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.2938,                 1.2348,                 1.5783,                 1.3334,                 1.4731,                 1.5897,                0.79486,                0.75622,                0.85985,                0.61317,                  0.993,                0.69915,                 1.5592,                 1.0462,                0.75797,                 1.5858,               0.001139,               0.001139,               0.001139
                     44,                 1.2912,                 1.2379,                 1.5668,                 1.3391,                 1.4706,                 1.5695,                0.74745,                0.81436,                0.84834,                0.59901,                 1.0031,                0.72076,                 1.5481,                 1.0493,                0.78359,                 1.5872,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.2898,                 1.2412,                  1.575,                 1.3508,                 1.4748,                 1.5851,                0.58615,                0.63642,                0.65896,                0.44469,                   1.17,                 1.3996,                 1.7047,                 1.2089,                 1.5421,                  1.698,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.2758,                 1.2446,                 1.5637,                 1.3225,                 1.4795,                 1.5682,                0.78857,                0.67757,                0.81034,                0.57359,                0.98833,                0.92786,                 1.5354,                  1.043,                0.90262,                  1.591,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.2766,                 1.2494,                 1.5635,                 1.3241,                  1.491,                 1.5599,                0.76117,                 0.7539,                0.83238,                0.60357,                0.95998,                 0.7845,                 1.5332,                 1.0187,                0.83426,                  1.569,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.2841,                 1.2302,                 1.5625,                 1.3223,                 1.4737,                 1.5626,                0.80688,                0.74216,                  0.853,                0.60592,                0.97383,                0.80423,                 1.5602,                 1.0721,                0.80406,                 1.6471,              0.0011036,              0.0011036,              0.0011036
                     49,                 1.2726,                 1.1807,                 1.5618,                 1.3334,                 1.4104,                 1.5736,                0.78398,                0.78481,                0.86176,                 0.6193,                0.96352,                0.78604,                 1.5316,                 1.0521,                0.76099,                 1.5866,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.2441,                 1.1608,                 1.5291,                 1.2963,                 1.3816,                 1.5345,                0.73488,                0.76382,                  0.826,                0.59182,                0.95568,                 0.9028,                  1.522,                 1.0214,                0.92038,                 1.5523,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.2448,                 1.1735,                 1.5338,                 1.2943,                 1.3935,                 1.5385,                0.78436,                0.77936,                0.86551,                0.62769,                0.95339,                0.76294,                  1.526,                 1.0067,                0.75024,                 1.5541,              0.0010824,              0.0010824,              0.0010824
                     52,                  1.229,                 1.1618,                 1.5239,                 1.2871,                 1.4065,                 1.5412,                0.85134,                0.83015,                0.89567,                0.63693,                  1.006,                0.68858,                 1.5874,                 1.0793,                0.62632,                  1.616,              0.0010753,              0.0010753,              0.0010753
                     53,                 1.2459,                 1.1404,                 1.5352,                 1.2953,                 1.3568,                 1.5433,                0.79333,                0.75513,                0.85804,                0.61354,                0.98552,                0.79686,                 1.5513,                 1.0391,                0.81083,                 1.5793,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.2171,                 1.1212,                 1.5145,                 1.2631,                 1.3526,                 1.5252,                0.80259,                0.80685,                0.87903,                0.63337,                0.94837,                0.68487,                 1.5152,                 1.0054,                0.69802,                 1.5678,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.2502,                 1.1465,                 1.5259,                  1.314,                 1.3729,                 1.5449,                0.86448,                0.75042,                 0.8906,                0.63847,                0.95514,                0.66574,                 1.5518,                 1.0333,                0.66546,                 1.6066,              0.0010541,              0.0010541,              0.0010541
                     56,                 1.2222,                 1.1201,                 1.5163,                 1.2824,                 1.3508,                 1.5323,                0.76881,                0.79787,                0.86019,                0.62825,                0.95601,                 0.6996,                 1.5281,                0.98954,                0.76219,                  1.559,               0.001047,               0.001047,               0.001047
                     57,                 1.2152,                 1.1166,                 1.5087,                  1.276,                 1.3418,                 1.5222,                0.79872,                0.74626,                  0.862,                0.63925,                0.92503,                0.70984,                 1.5057,                0.95123,                 0.7616,                 1.5256,                0.00104,                0.00104,                0.00104
                     58,                 1.1957,                 1.1003,                 1.4916,                 1.2549,                 1.3281,                 1.5114,                0.81887,                0.75961,                0.86364,                0.64156,                0.91991,                0.72299,                 1.4956,                0.95486,                0.76947,                 1.5025,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.1842,                 1.0801,                 1.4858,                 1.2421,                 1.3004,                 1.5002,                0.80012,                0.76478,                0.87503,                0.64443,                 0.9381,                0.67433,                 1.4907,                0.98427,                0.73478,                 1.5185,              0.0010258,              0.0010258,              0.0010258
                     60,                    1.2,                 1.0949,                 1.5079,                 1.2546,                 1.2961,                 1.5226,                0.81064,                 0.8635,                0.90902,                0.66372,                 0.9141,                0.59909,                 1.4868,                0.97164,                0.61787,                 1.5301,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.1936,                 1.0798,                 1.4997,                 1.2612,                 1.2734,                  1.516,                0.80803,                0.83932,                 0.8912,                0.66608,                0.89556,                 0.6234,                 1.4678,                  0.934,                0.66349,                 1.4901,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.2024,                 1.0888,                 1.5019,                  1.258,                 1.3033,                 1.5104,                0.83902,                0.79436,                0.89282,                0.65525,                0.95121,                0.69808,                 1.5156,                0.98839,                0.71592,                 1.5313,              0.0010046,              0.0010046,              0.0010046
